n,m,p,seed,algoritmo,dim_cover,tempo_sec,valid
100,20,0.1,42,Greedy,16,8.3e-05,1
100,20,0.1,42,GreedyHashMap,16,6.6e-05,1
100,20,0.1,42,Randomized,16,0.000665,1
100,20,0.1,123,Greedy,19,7.4e-05,1
100,20,0.1,123,GreedyHashMap,19,4.9e-05,1
100,20,0.1,123,Randomized,19,0.000217,1
100,20,0.1,7,Greedy,20,7.8e-05,1
100,20,0.1,7,GreedyHashMap,20,5.4e-05,1
100,20,0.1,7,Randomized,20,0.000208,1
100,20,0.1,31,Greedy,18,8.3e-05,1
100,20,0.1,31,GreedyHashMap,18,4.9e-05,1
100,20,0.1,31,Randomized,18,0.000197,1
100,20,0.1,999,Greedy,16,7.4e-05,1
100,20,0.1,999,GreedyHashMap,16,5.2e-05,1
100,20,0.1,999,Randomized,15,0.000213,1
100,20,0.1,17,Greedy,15,7.7e-05,1
100,20,0.1,17,GreedyHashMap,15,5e-05,1
100,20,0.1,17,Randomized,14,0.0002,1
100,20,0.1,53,Greedy,16,7.6e-05,1
100,20,0.1,53,GreedyHashMap,16,4.7e-05,1
100,20,0.1,53,Randomized,16,0.000201,1
100,20,0.1,77,Greedy,17,7.8e-05,1
100,20,0.1,77,GreedyHashMap,17,4.8e-05,1
100,20,0.1,77,Randomized,16,0.00019,1
100,20,0.1,101,Greedy,17,7.5e-05,1
100,20,0.1,101,GreedyHashMap,18,5.2e-05,1
100,20,0.1,101,Randomized,17,0.000198,1
100,20,0.1,200,Greedy,19,7.8e-05,1
100,20,0.1,200,GreedyHashMap,19,4.5e-05,1
100,20,0.1,200,Randomized,18,0.000199,1
100,20,0.3,42,Greedy,10,0.000104,1
100,20,0.3,42,GreedyHashMap,9,0.00018,1
100,20,0.3,42,Randomized,16,0.000656,1
100,20,0.3,123,Greedy,8,0.000163,1
100,20,0.3,123,GreedyHashMap,8,0.000108,1
100,20,0.3,123,Randomized,14,0.000542,1
100,20,0.3,7,Greedy,9,0.000167,1
100,20,0.3,7,GreedyHashMap,8,0.000105,1
100,20,0.3,7,Randomized,14,0.000528,1
100,20,0.3,31,Greedy,8,0.000151,1
100,20,0.3,31,GreedyHashMap,8,0.0001,1
100,20,0.3,31,Randomized,14,0.000507,1
100,20,0.3,999,Greedy,8,0.000139,1
100,20,0.3,999,GreedyHashMap,8,8.9e-05,1
100,20,0.3,999,Randomized,15,0.000462,1
100,20,0.3,17,Greedy,7,0.000131,1
100,20,0.3,17,GreedyHashMap,7,8.4e-05,1
100,20,0.3,17,Randomized,11,0.000512,1
100,20,0.3,53,Greedy,7,0.000124,1
100,20,0.3,53,GreedyHashMap,7,8.2e-05,1
100,20,0.3,53,Randomized,14,0.000467,1
100,20,0.3,77,Greedy,9,0.000146,1
100,20,0.3,77,GreedyHashMap,9,8.7e-05,1
100,20,0.3,77,Randomized,15,0.00042,1
100,20,0.3,101,Greedy,9,0.000158,1
100,20,0.3,101,GreedyHashMap,8,8.4e-05,1
100,20,0.3,101,Randomized,12,0.00048,1
100,20,0.3,200,Greedy,9,0.000152,1
100,20,0.3,200,GreedyHashMap,8,8.1e-05,1
100,20,0.3,200,Randomized,12,0.000457,1
100,20,0.5,42,Greedy,5,0.000113,1
100,20,0.5,42,GreedyHashMap,5,8.2e-05,1
100,20,0.5,42,Randomized,13,0.000468,1
100,20,0.5,123,Greedy,4,9.2e-05,1
100,20,0.5,123,GreedyHashMap,4,7.8e-05,1
100,20,0.5,123,Randomized,13,0.000505,1
100,20,0.5,7,Greedy,4,8.4e-05,1
100,20,0.5,7,GreedyHashMap,4,7.7e-05,1
100,20,0.5,7,Randomized,10,0.000504,1
100,20,0.5,31,Greedy,5,0.000103,1
100,20,0.5,31,GreedyHashMap,5,7.7e-05,1
100,20,0.5,31,Randomized,14,0.00048,1
100,20,0.5,999,Greedy,4,8.8e-05,1
100,20,0.5,999,GreedyHashMap,5,7.8e-05,1
100,20,0.5,999,Randomized,13,0.00052,1
100,20,0.5,17,Greedy,4,9e-05,1
100,20,0.5,17,GreedyHashMap,4,7.7e-05,1
100,20,0.5,17,Randomized,12,0.000535,1
100,20,0.5,53,Greedy,5,0.000105,1
100,20,0.5,53,GreedyHashMap,5,7e-05,1
